position	var_name	gene_symbol	marker_name	ensembl_gene_id	highly_variable
31197	CABZ01061894.1	CABZ01061894.1	cabz01061894.1	ENSDARG00000116712	0
31198	si:ch73-265d7.2	nppcl2	nppcl2	ENSDARG00000116713	0
31199	BX511127.1	BX511127.1	bx511127.1	ENSDARG00000116715	0
31200	BX664750.7	BX664750.7	bx664750.7	ENSDARG00000116716	0
31201	si:dkey-82i20.5	si:dkey-82i20.5	si:dkey-82i20.5	ENSDARG00000116717	0
31202	BX640518.1	BX640518.1	bx640518.1	ENSDARG00000116720	0
31203	BX470259.3	BX470259.3	bx470259.3	ENSDARG00000116723	0
31204	CABZ01114053.1	CABZ01114053.1	cabz01114053.1	ENSDARG00000116725	0
31205	CR381618.3	CR381618.3	cr381618.3	ENSDARG00000116726	0
31206	CABZ01081294.2	tmem200cb	tmem200cb	ENSDARG00000116727	0
31207	CABZ01031870.1	CABZ01031870.1	cabz01031870.1	ENSDARG00000116732	0
31208	FQ790212.1	FQ790212.1	fq790212.1	ENSDARG00000116733	0
31209	BX571773.1	BX571773.1	bx571773.1	ENSDARG00000116736	0
31210	rnps1-1	rnps1	rnps1-1	ENSDARG00000116743	0
31211	CR925711.3	CR925711.3	cr925711.3	ENSDARG00000116745	0
31212	AL929029.19	AL929029.19	al929029.19	ENSDARG00000116746	0
31213	CU367852.14	CU367852.14	cu367852.14	ENSDARG00000116747	0
31214	dre-mir-430c-1-17	dre-mir-430c-11	dre-mir-430c-11	ENSDARG00000116749	0
31215	BX537263.5	BX537263.5	bx537263.5	ENSDARG00000116751	0
31216	CR936300.2	CR936300.2	cr936300.2	ENSDARG00000116752	0
31217	CU896658.1	CU896658.1	cu896658.1	ENSDARG00000116753	0
31218	BX908777.11	BX908777.11	bx908777.11	ENSDARG00000116756	0
31219	c16h2orf66	c16h2orf66	c16h2orf66	ENSDARG00000116758	0
31220	CABZ01053323.1	CABZ01053323.1	cabz01053323.1	ENSDARG00000116759	0
31221	pimr204-1	si:cabz01021067.1	si:cabz01021067.1	ENSDARG00000116762	0
31222	BX649516.5	si:ch211-162i8.1	si:ch211-162i8.1	ENSDARG00000116763	0
31223	zgc:162962	zgc:162962	zgc:162962	ENSDARG00000116765	0
31224	ZNF521	ZNF521	znf521-1	ENSDARG00000116769	0
